CMDLINE /home/panpan/anaconda3/envs/rl4co/bin/python run.py
MEM 1.500000 1703559168.8759
MEM 39.042969 1703559168.9762
MEM 206.792969 1703559169.0765
MEM 272.792969 1703559169.1768
MEM 344.121094 1703559169.2771
MEM 368.371094 1703559169.3774
MEM 383.121094 1703559169.4775
MEM 401.121094 1703559169.5777
MEM 410.371094 1703559169.6780
MEM 428.621094 1703559169.7782
MEM 439.957031 1703559169.8785
MEM 454.707031 1703559169.9786
MEM 462.207031 1703559170.0788
MEM 463.207031 1703559170.1789
MEM 481.707031 1703559170.2791
MEM 506.957031 1703559170.3793
MEM 531.707031 1703559170.4796
MEM 540.707031 1703559170.5798
MEM 551.960938 1703559170.6800
MEM 553.710938 1703559170.7802
MEM 553.960938 1703559170.8804
MEM 553.960938 1703559170.9806
MEM 553.960938 1703559171.0809
MEM 553.960938 1703559171.1812
MEM 554.710938 1703559171.2815
MEM 554.710938 1703559171.3818
MEM 554.710938 1703559171.4821
MEM 554.710938 1703559171.5825
MEM 554.710938 1703559171.6828
MEM 554.710938 1703559171.7831
MEM 554.710938 1703559171.8835
MEM 554.710938 1703559171.9838
MEM 554.710938 1703559172.0841
MEM 554.710938 1703559172.1844
MEM 554.710938 1703559172.2847
MEM 554.710938 1703559172.3850
MEM 554.710938 1703559172.4853
MEM 554.710938 1703559172.5857
MEM 554.710938 1703559172.6860
MEM 554.710938 1703559172.7863
MEM 563.398438 1703559172.8867
MEM 568.718750 1703559172.9870
MEM 653.468750 1703559173.0873
MEM 791.332031 1703559173.1876
MEM 937.332031 1703559173.2880
MEM 1027.332031 1703559173.3883
MEM 1084.332031 1703559173.4886
MEM 1115.582031 1703559173.5890
MEM 1116.082031 1703559173.6892
MEM 1116.082031 1703559173.7895
MEM 1116.082031 1703559173.8898
MEM 1116.082031 1703559173.9901
MEM 1116.082031 1703559174.0904
MEM 1116.082031 1703559174.1908
MEM 1116.082031 1703559174.2911
MEM 1116.082031 1703559174.3914
MEM 1116.082031 1703559174.4917
MEM 1116.082031 1703559174.5920
MEM 1116.082031 1703559174.6924
MEM 1116.082031 1703559174.7927
MEM 1256.082031 1703559174.8930
MEM 1257.082031 1703559174.9934
MEM 1279.332031 1703559175.0937
MEM 1339.082031 1703559175.1940
MEM 1339.832031 1703559175.2943
MEM 1339.832031 1703559175.3946
MEM 1339.832031 1703559175.4948
MEM 1339.832031 1703559175.5951
MEM 1339.832031 1703559175.6954
MEM 1339.832031 1703559175.7957
MEM 1340.082031 1703559175.8960
MEM 1340.082031 1703559175.9963
MEM 1340.082031 1703559176.0966
MEM 1340.082031 1703559176.1969
MEM 1340.082031 1703559176.2972
MEM 1340.082031 1703559176.3975
MEM 1340.082031 1703559176.4978
MEM 1340.082031 1703559176.5981
MEM 1340.082031 1703559176.6984
MEM 1340.082031 1703559176.7987
MEM 1340.082031 1703559176.8990
MEM 1340.082031 1703559176.9993
MEM 1340.082031 1703559177.0996
MEM 1340.082031 1703559177.1999
MEM 1340.082031 1703559177.3002
MEM 1341.832031 1703559177.4005
MEM 1365.082031 1703559177.5008
MEM 1365.082031 1703559177.6011
MEM 1365.082031 1703559177.7014
MEM 1365.082031 1703559177.8017
MEM 1365.082031 1703559177.9020
MEM 1365.082031 1703559178.0023
MEM 1365.082031 1703559178.1026
MEM 1365.082031 1703559178.2029
MEM 1365.082031 1703559178.3032
MEM 1365.082031 1703559178.4034
MEM 1365.082031 1703559178.5037
MEM 1365.082031 1703559178.6040
MEM 1410.832031 1703559178.7044
MEM 1410.832031 1703559178.8047
MEM 1411.332031 1703559178.9050
MEM 1411.332031 1703559179.0053
MEM 1411.332031 1703559179.1056
MEM 1411.332031 1703559179.2059
MEM 1411.332031 1703559179.3062
MEM 1411.332031 1703559179.4065
MEM 1411.332031 1703559179.5069
MEM 1411.332031 1703559179.6072
MEM 1411.332031 1703559179.7075
MEM 1411.332031 1703559179.8078
MEM 1411.332031 1703559179.9081
MEM 1411.332031 1703559180.0085
MEM 1411.332031 1703559180.1088
MEM 1411.332031 1703559180.2091
MEM 1411.332031 1703559180.3094
MEM 1411.332031 1703559180.4097
MEM 1411.332031 1703559180.5100
MEM 1411.332031 1703559180.6103
MEM 1411.332031 1703559180.7105
MEM 1411.332031 1703559180.8108
MEM 1411.332031 1703559180.9111
MEM 1411.332031 1703559181.0114
MEM 1411.582031 1703559181.1117
MEM 1423.582031 1703559181.2120
MEM 1423.582031 1703559181.3123
MEM 1423.582031 1703559181.4127
MEM 1423.582031 1703559181.5130
MEM 1423.582031 1703559181.6133
MEM 1423.582031 1703559181.7135
MEM 1423.582031 1703559181.8138
MEM 1423.582031 1703559181.9141
MEM 1423.582031 1703559182.0144
MEM 1423.582031 1703559182.1147
MEM 1423.582031 1703559182.2150
MEM 1423.582031 1703559182.3153
MEM 1423.582031 1703559182.4156
MEM 1423.582031 1703559182.5159
MEM 1423.582031 1703559182.6162
MEM 1423.582031 1703559182.7165
MEM 1423.582031 1703559182.8168
MEM 1423.582031 1703559182.9171
MEM 1423.582031 1703559183.0174
MEM 1423.582031 1703559183.1177
MEM 1423.582031 1703559183.2180
MEM 1423.582031 1703559183.3183
MEM 1423.582031 1703559183.4186
MEM 1423.582031 1703559183.5189
MEM 1429.332031 1703559183.6192
MEM 1429.332031 1703559183.7195
MEM 1434.332031 1703559183.8198
MEM 1434.332031 1703559183.9201
MEM 1434.332031 1703559184.0204
MEM 1434.332031 1703559184.1207
MEM 1434.332031 1703559184.2210
MEM 1434.332031 1703559184.3213
MEM 1434.332031 1703559184.4217
MEM 1434.332031 1703559184.5220
MEM 1434.332031 1703559184.6223
MEM 1434.332031 1703559184.7226
MEM 1434.332031 1703559184.8229
MEM 1434.332031 1703559184.9232
MEM 1434.332031 1703559185.0235
